Designator,Mid X,Mid Y,Rotation,Layer
CN1,127.464801,-103.936799,180.0,top
CN2,137.414,-103.9368,180.0,top
Q1,131.1402,-86.2838,180.0,top
Q2,131.1402,-89.5604,0.0,top
Q3,131.1402,-92.8624,180.0,top
Q4,135.9408,-92.8624,0.0,top
Q5,131.1094,-96.418398,180.0,top
Q6,135.9608,-96.403198,0.0,top
Q7,127.2794,-96.3422,90.0,top
Q8,135.9408,-89.5604,180.0,top
R1,134.0866,-86.1822,270.0,top
R2,128.4224,-89.1032,90.0,top
R3,129.2606,-94.6404,0.0,top
R4,127.9144,-93.4466,0.0,top
R5,137.9474,-91.6686,0.0,top
R6,133.5532,-90.7542,0.0,top
TP1,140.462,-86.2076,0.0,top
TP2,125.857,-86.2076,0.0,top
TP3,123.6472,-96.1672,90.0,top
TP4,123.6472,-93.1672,90.0,top
